t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8490627347182937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509372652817062
0.0,0.0,0.2792892949533634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13930213133891287,0.13276383687058435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12661568693041708,0.0,0.0,0.0,0.0,0.3220290499067223,0.0
0.0,0.0,0.0,0.0,0.0,0.5239042158292135,0.0,0.13414415016285838,0.0,0.03928538672362728,0.0,0.0,0.04059862658169949,0.0,0.0,0.0,0.0,0.0,0.0,0.03889160998751887,0.0,0.0,0.0,0.10222164355271683,0.0,0.12095436716236557,0.0,0.0
0.09938620758255488,0.3848263235024714,0.0,0.0,0.0,0.054365601522543605,0.0,0.02854666227900999,0.0,0.0,0.0,0.0,0.0,0.05838455255509997,0.0,0.0,0.19479722057817786,0.0,0.0,0.11498388560537902,0.0,0.0,0.0,0.021759580845827825,0.0,0.0,0.04294996552893526,0.0
0.8571735422187662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14282645778123382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2824715250394538,0.0,0.0,0.0,0.0,0.7175284749605463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.08965150225920446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9103484977407955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1893139820324158,0.0,0.0,0.2665271156931474,0.0,0.0,0.4802289670666306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06392993520780617,0.0,0.0
0.0,0.0,0.09524648323071952,0.049505542623269165,0.0,0.0,0.0,0.0,0.0,0.05140506737868836,0.0,0.07355458599233511,0.0,0.3130004727607979,0.0,0.0,0.1541422460322395,0.0,0.20126537596093985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06188022602101055,0.0
0.8133589413729417,0.0,0.0,0.0,0.0,0.0,0.1866410586270582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5164307988829347,0.0,0.0,0.12253834079083056,0.0,0.0,0.0,0.0,0.0,0.0,0.36103086032623466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3951823300964784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23773163323038152,0.0,0.0,0.36708603667314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.048764935875690855,0.04929196960778675,0.44995083150685317,0.0,0.05746619477123206,0.0,0.048554453887253345,0.0,0.0,0.0,0.0,0.0,0.07220629543705656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27376531891412725,0.0,0.0,0.0,0.0,0.0,0.0
0.08102709162547862,0.0,0.0,0.15574875850008818,0.0,0.4315278671713232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316962827031099,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06546428553707091,0.0,0.0,0.0,0.2978115132612396,0.0,0.6367242012016895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.7432689756587799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25673102434122014,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5232880761295534,0.0,0.0,0.12669658801975608,0.0,0.0,0.0,0.0,0.16978577406394577,0.0,0.0,0.0,0.0,0.0,0.0,0.05984763386126239,0.0,0.0,0.0,0.12038192792548247,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.03478109232168566,0.0,0.10829451431789154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7166960317125299,0.0,0.0,0.0,0.14022836164789287,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2526264930699754,0.0,0.49859940524649865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24877410168352584,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.19999565831736862,0.0,0.0,0.0973886253290231,0.0,0.0,0.0,0.0,0.0,0.0864686411279358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951227930510514,0.5210242821746212
0.0,0.23771532906618928,0.0,0.14481959176742623,0.0,0.028352596995511785,0.06215883585899578,0.0,0.0,0.0,0.02766534733276751,0.0,0.0,0.0,0.027586843176207177,0.0,0.0,0.0,0.0,0.027440430481870375,0.0,0.0,0.0,0.0,0.4442610253210319,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
