t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29
0.312414979691725,0.1565776715914123,0.0,0.17608664508350555,0.0,0.0,0.0,0.0,0.19183618717088122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16308451646247582
0.0,0.1859591351163644,0.0,0.0,0.0,0.0,0.15266213098092796,0.0,0.6613787339027077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44911700329817433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44265308145255383,0.0,0.0,0.0,0.0,0.0,0.0,0.1082299152492717,0.0,0.0
0.0,0.0,0.0,0.4298294384267808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015255552258698,0.2686450063473494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.19148909426893695,0.025275155890148046,0.020394146174063314,0.0,0.0,0.020145979711687204,0.0,0.04670530980585373,0.04608587453235912,0.2731313601451659,0.0,0.0,0.186404333885279,0.021914847159426862,0.0,0.0,0.04946599900423358,0.0,0.0,0.0,0.11898789942284624,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06000887054837123,0.0,0.0,0.0,0.15537403770048988,0.0,0.10226933077501638,0.04253839392941612,0.060143228702750545,0.01952595640333736,0.0,0.3043085257103756,0.0,0.0,0.0,0.0,0.092264459532471,0.1416231791775351,0.021944017520236808,0.0
0.44853892899206393,0.0,0.0,0.40354291388628216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07357087827957351,0.0,0.03664350055927489,0.0,0.0,0.0,0.0,0.0,0.0,0.03770377828280551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.4174627679198122,0.0,0.0,0.0,0.0,0.0,0.5825372320801879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3966129817431863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21919573545740553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38419128279940806,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3778496074143998,0.0,0.0,0.17552269743102147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4466276951545788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
