t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671997867864022,0.0,0.3280021321359779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.17679152714651494,0.29261747738532,0.0,0.0,0.0,0.0,0.0,0.0,0.15241173029770647,0.0,0.0,0.0,0.0,0.0,0.0,0.17784607371182543,0.20033319145863307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4838278428816459,0.0,0.3148859657462543,0.0,0.0,0.0,0.0,0.0,0.0,0.20128619137209974,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132570062239265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3219622765724932,0.0,0.0,0.4647807172035804,0.0,0.0
0.0,0.0,0.0,0.21094869142232645,0.0,0.09478454042931696,0.0,0.0,0.07933766249680078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4192286543605315,0.0,0.0,0.0,0.0,0.19570045129102417,0.0,0.0,0.0,0.0
0.3381623469239233,0.0,0.0,0.5193801880314148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14245746504466192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30564062614094106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694359373859059,0.0,0.0
0.0,0.0,0.14272904087518462,0.0,0.0,0.0,0.09808966661355012,0.096711887120251,0.1183888205062773,0.0,0.0,0.544080584884737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5916283308605287,0.0,0.0,0.4083716691394713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09537938662465403,0.11796448850445194,0.09122690503171213,0.0,0.10839021980569956,0.10494576380844661,0.0906816021676301,0.1030685184130946,0.0,0.0,0.10121182641145222,0.0,0.08974727803332136,0.0,0.0,0.0,0.0,0.09738401119953739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4984598699135648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2398558454683918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2616842846180434,0.0,0.0,0.0,0.0,0.0,0.0
0.39681932908530443,0.0,0.0,0.2747130123504392,0.0,0.0,0.0,0.26169212351031823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06677553505393821,0.0
0.8125322149409037,0.0,0.0,0.18746778505909625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.6978615412439622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151950002526457,0.0,0.0,0.0,0.0,0.15061895873077316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1322821169818434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07581526190073883,0.21172892427805745,0.0,0.0,0.0,0.0,0.5801736968393603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
