t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33
0.0,0.0,0.0,0.0,0.0,0.8471090480232325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15289095197676741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.771596122785752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228403877214248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.47075872853124084,0.34323095420564764,0.0,0.0,0.0,0.0,0.0,0.0,0.1860103172631115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20105927678970467,0.0,0.4495242596667089,0.1971336981700291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02921191658082427,0.0,0.0,0.09722931429963304,0.0,0.025841534493100185,0.0
0.0,0.0,0.0,0.0,0.045047912858642895,0.0,0.0,0.0,0.05297859765111862,0.0,0.1420747023462964,0.561967760250071,0.07045083359832098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12748019329555008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34629536315034964,0.0,0.33340318277788594,0.0,0.0661410724221532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06219970572486365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16197161213100084,0.0,0.0,0.02998906379374678,0.0
0.0,0.0,0.0,0.0,0.0,0.3335662555171819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6664337444828181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5287206113872821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47127938861271784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2915264082110893,0.061724116682642244,0.0,0.0,0.0,0.0,0.0,0.17118953611401636,0.0,0.0,0.0,0.0723680500307811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30345151611910764,0.0,0.0,0.0,0.0,0.0997403728423634,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152657234411291,0.0,0.10625575959404338,0.0,0.10433123851052895,0.0,0.05203181813513516,0.0,0.0,0.0,0.0,0.20285281868135738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23715830033361004,0.0,0.0,0.0,0.0,0.14471283033403406
0.5674276377723584,0.0,0.0,0.0,0.18692342292455918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24564893930308246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41094603809832886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13871939992918889,0.04180841775917875,0.24423740095838786,0.0,0.0,0.0,0.0,0.0,0.1642887432549158
0.5101107069668553,0.0,0.0,0.0,0.2395957903153696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25029350271777495,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7215816651108522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27841833488914786,0.0
0.1598106724691394,0.0,0.0,0.0,0.0,0.7015250923910376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13866423513982293,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24834312877590856,0.0,0.0,0.6574035019874945,0.0,0.0,0.0,0.047399654264198184,0.0,0.0,0.0,0.0,0.04685371497239872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
