t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32
0.0,0.0,0.0,0.0,0.0315433990164787,0.21810480508248595,0.037948169858028576,0.0,0.0,0.0,0.0,0.0,0.0,0.21003075308800834,0.1100500923491882,0.0,0.0,0.0,0.2512633061963871,0.0,0.0,0.0,0.0,0.1105200819782936,0.0,0.0,0.0,0.0,0.0,0.03053939243112947,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2828836745094631,0.0,0.1258657220603754,0.12804300987486086,0.0,0.0,0.0,0.06778270841525617,0.0,0.05477237901847513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17259493486917765,0.16805757125239165
0.0,0.0,0.0,0.0,0.0,0.0,0.26454011214937595,0.0,0.0,0.0,0.2881902670056645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1984269536303364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24884266721462317,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20756196144214042,0.0,0.0,0.6202511211936632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1721869173641964,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37582562616906495,0.20497860157921058,0.0,0.0,0.0,0.11745027114016188,0.0,0.0,0.0,0.3017455011115626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04877009112565971,0.11740591981038857,0.0,0.0,0.0,0.1661954034038805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14539594112857085,0.0,0.0,0.12485864496425776,0.02468871954862244,0.0,0.0,0.0,0.0,0.0534015681275089,0.31928371189111115,0.0,0.0,0.0,0.0,0.0
0.45439770437201893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29307413964833245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16917021775019897,0.0,0.0,0.0,0.0,0.08335793822944962
0.030648653854134223,0.039383252068517484,0.1318217645182814,0.0,0.0,0.0,0.0,0.0,0.16855484992964725,0.11888571871860647,0.0,0.10609772548701624,0.0,0.025829492217178895,0.0,0.11453686021567978,0.0,0.0,0.0,0.15819124204130036,0.03292140310882321,0.0,0.0,0.0,0.0,0.0,0.0,0.0457758889467418,0.0,0.0,0.027353148894072876,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.24733411355203497,0.0,0.0,0.0,0.0,0.0,0.07336076428869268,0.0,0.0,0.0,0.0,0.0,0.35858841393841395,0.0,0.0,0.0,0.0,0.3207167082208584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024490446372962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7975509553627038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02095200548682649,0.0205400597301271,0.0,0.0,0.0,0.3013138200080526,0.046151281773919625,0.0,0.0,0.0,0.0,0.0,0.13523481907116544,0.0,0.301276706139725,0.0,0.0,0.04051919164217782,0.0,0.0,0.04987458986043758,0.0575853158334237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026552210454144548,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675837802977049,0.0,0.0,0.0,0.6324162197022952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
