t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7408185248607853,0.0,0.0,0.0,0.2591814751392148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.34129791280588556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05118303363722379,0.0,0.0,0.0,0.0,0.065335933858465,0.0,0.0,0.06010217359276651,0.06496476067373345,0.0,0.0,0.0,0.0,0.0,0.12286735931967724,0.20987347989484503,0.08437534621740331
0.0,0.0,0.0,0.0,0.7900775827594255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2099224172405745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.44009395547367086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13999784374777735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29450606463887946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12540213613967224,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.31474240916136254,0.17942713406206887,0.03761947977296471,0.0,0.0,0.16382227790379222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07524018479563443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07388767603177004,0.0,0.0,0.0,0.0,0.09387797930678507,0.06138285896562206
0.0,0.48326473864780045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5167352613521995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06880943566853971,0.0,0.0,0.0,0.0,0.0,0.15742012266524352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711360805975791,0.0,0.0,0.06510028497203402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5375340760966036,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.13392713005746,0.0,0.0,0.0,0.2876640359861306,0.0,0.0,0.0,0.0,0.0,0.0,0.07794773122292317,0.0,0.0,0.07284359399573946,0.3530675084199737,0.0,0.0,0.07455000031777312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
